leg,appear,pass_quality,pass_rate
"group_rank(volume/ts_mean(volume, 120), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(volume/ts_mean(volume, 120), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sh_equity_median/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",2,0,0.0
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_fcf_low/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",2,0,0.0
"group_rank(fnd6_tfvce/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(fnd6_intc/assets, bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(fnd6_lifr/assets, bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(fnd6_intc/assets, sector)",2,2,1.0
"group_rank(fnd6_tfvce/assets, sector)",2,2,1.0
"group_rank(ts_av_diff(cash/assets, 45), sector)",2,2,1.0
"group_rank(-ts_delta(close, 2), sector)",2,2,1.0
"group_rank(fnd6_tstkc/assets, industry)",2,2,1.0
"group_rank(fnd6_lifr/assets, industry)",2,2,1.0
"group_rank(ts_delta(fnd6_tstkc/assets, 60), bucket(rank(cap), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(ts_delta(fnd6_intc/assets, 60), bucket(rank(cap), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(ts_zscore(fnd6_tfvce/assets, 120), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(ts_zscore(fnd6_cicurr/assets, 120), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(ts_corr(cap, ts_mean(volume, 20), 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(fnd6_cicurr/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(fnd6_tfvce/assets, bucket(rank(debt/assets), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(debt/assets), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(debt/assets), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(-ts_delta(close, 2), bucket(rank(debt/assets), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(capex/assets), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(capex/assets), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(-ts_delta(close, 2), bucket(rank(capex/assets), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1""))",2,2,1.0
